,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9954217672348022
1,0.1,1.0,1.0,0.9827296733856201
2,0.2,1.0,1.0,0.9461714625358582
3,0.3,1.0,1.0,0.8758009076118469
4,0.4,1.0,1.0,0.7861754298210144
5,0.5,0.9487179487179487,1.0,0.6976792812347412
6,0.7,0.9230769230769231,0.9743589743589743,0.5598031282424927
7,1.0,0.8461538461538461,0.9487179487179487,0.42666327953338623
8,2.0,0.6923076923076923,0.7948717948717948,0.26311957836151123
9,4.0,0.5384615384615384,0.717948717948718,0.21134036779403687
10,10.0,0.5641025641025641,0.717948717948718,0.2518807053565979
11,20.0,0.4358974358974359,0.6666666666666666,0.30317577719688416
12,30.0,0.358974358974359,0.48717948717948717,0.2837664783000946
13,40.0,0.15384615384615385,0.48717948717948717,0.3076145648956299
14,50.0,0.15384615384615385,0.23076923076923078,0.33394432067871094
15,60.0,0.10256410256410256,0.1794871794871795,0.35976916551589966
