,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9954217672348022
1,0.5,0.9487179487179487,1.0,0.6367338299751282
2,1.0,0.7692307692307693,0.8974358974358975,0.36713707447052
3,2.0,0.6410256410256411,0.717948717948718,0.19074761867523193
4,4.0,0.2564102564102564,0.41025641025641024,0.08838201314210892
5,10.0,0.0,0.02564102564102564,0.10657680034637451
6,20.0,0.0,0.0,0.20180834829807281
7,30.0,0.0,0.0,0.30304765701293945
8,40.0,0.0,0.0,0.40031328797340393
9,50.0,0.0,0.0,0.46120843291282654
10,60.0,0.0,0.0,0.5125250816345215
