,Sample,Clean class,Adversarial class,Success,Iterations,Confidence 1,Confidence 2,Confidence 3,Confidence 4,Confidence 5
0,0,305,302,1,2,0.4054308235645294,0.40516334772109985,0.05267320200800896,0.02030022069811821,0.01936310902237892
1,2,243,242,1,3,0.4639713168144226,0.46375101804733276,0.007714715786278248,0.007259486708790064,0.002667743247002363
2,3,559,484,1,4,0.3071187436580658,0.3069003224372864,0.11310843378305435,0.031579677015542984,0.021041978150606155
3,4,438,470,1,3,0.11292233318090439,0.11277871578931808,0.01842707209289074,0.014210337772965431,0.014086876064538956
4,5,990,74,1,2,0.19252896308898926,0.19125044345855713,0.04091441258788109,0.028528030961751938,0.0223053228110075
5,6,949,957,1,2,0.3035050332546234,0.3025554120540619,0.09451223164796829,0.02821301855146885,0.026844382286071777
6,10,582,454,1,3,0.4282032251358032,0.4279015362262726,0.06261559575796127,0.03611602261662483,0.014470628462731838
7,11,915,449,1,5,0.1618843376636505,0.16181187331676483,0.036590009927749634,0.024665728211402893,0.021939748898148537
8,12,455,539,1,3,0.23067344725131989,0.23048357665538788,0.08915931731462479,0.08558613061904907,0.050456222146749496
9,14,961,964,1,2,0.3161470890045166,0.31585776805877686,0.17986653745174408,0.010300780646502972,0.008230547420680523
10,15,541,424,1,2,0.11910145729780197,0.11895349621772766,0.10408403724431992,0.04428945109248161,0.020784007385373116
11,16,630,836,1,3,0.1847948282957077,0.18458373844623566,0.09729152172803879,0.045450616627931595,0.039551761001348495
12,17,741,887,1,2,0.44343018531799316,0.43936845660209656,0.025942757725715637,0.02365069091320038,0.004838598892092705
13,19,455,622,1,3,0.18399648368358612,0.18385879695415497,0.03649332374334335,0.031026290729641914,0.027949610725045204
14,21,854,598,1,2,0.2314751297235489,0.23125822842121124,0.06465201824903488,0.043975405395030975,0.02782520279288292
15,22,922,921,1,4,0.377419114112854,0.3772643506526947,0.03754890710115433,0.03105730190873146,0.025066381320357323
16,24,129,127,1,3,0.26092877984046936,0.26076433062553406,0.05345839262008667,0.04161754250526428,0.029907941818237305
17,25,537,693,1,1,0.19299109280109406,0.12224487960338593,0.0697818472981453,0.04904632270336151,0.048282962292432785
18,26,672,645,1,3,0.16111479699611664,0.161004900932312,0.06902505457401276,0.04077604040503502,0.02768668346107006
19,27,476,564,1,3,0.4797102212905884,0.47846201062202454,0.013150403276085854,0.003405958879739046,0.002896078396588564
20,28,299,298,1,4,0.4772014617919922,0.4771413803100586,0.015538199804723263,0.002627500332891941,0.0019038261380046606
21,29,99,23,1,3,0.3079794645309448,0.3075731098651886,0.05616341903805733,0.020514827221632004,0.01951638050377369
22,31,251,290,1,3,0.3886719048023224,0.38831955194473267,0.041944392025470734,0.034531157463788986,0.024675864726305008
23,32,520,532,1,4,0.3700263798236847,0.36984363198280334,0.021925710141658783,0.01889195293188095,0.013996254652738571
24,33,923,959,1,2,0.34326255321502686,0.34290722012519836,0.049345944076776505,0.044894639402627945,0.03199806064367294
25,34,22,21,1,2,0.2545982599258423,0.25443345308303833,0.15256205201148987,0.10892672836780548,0.08823670446872711
26,36,760,922,1,3,0.21171978116035461,0.2115248292684555,0.12138684839010239,0.073654904961586,0.03940960764884949
27,37,582,509,1,2,0.380894273519516,0.3804183602333069,0.01912860758602619,0.01501156110316515,0.011039681732654572
28,39,692,917,1,3,0.31622081995010376,0.31597602367401123,0.06128077954053879,0.023374713957309723,0.013494674116373062
29,40,525,460,1,2,0.41583192348480225,0.41560396552085876,0.02128816582262516,0.014885321259498596,0.013892666436731815
30,41,931,929,1,2,0.13906541466712952,0.1384994089603424,0.04176647961139679,0.04055668041110039,0.03771829977631569
31,42,317,74,1,3,0.1925472617149353,0.19241005182266235,0.14161601662635803,0.0651237964630127,0.0410335399210453
32,43,464,816,1,3,0.24184690415859222,0.24168217182159424,0.03932807967066765,0.03883904218673706,0.031867653131484985
33,44,478,519,1,2,0.4679323732852936,0.466172993183136,0.0057098353281617165,0.004334473982453346,0.0019733915105462074
34,45,667,614,1,2,0.15432396531105042,0.15407492220401764,0.08316519856452942,0.04182717949151993,0.02995120733976364
35,46,961,722,1,3,0.3958020806312561,0.39554324746131897,0.01543363370001316,0.01485731266438961,0.014616074971854687
36,47,865,788,1,2,0.2969207763671875,0.29642707109451294,0.06355778872966766,0.05701933428645134,0.02841188758611679
37,50,33,34,1,2,0.44308826327323914,0.4427343010902405,0.03978326544165611,0.038095660507678986,0.009501254186034203
38,51,922,921,1,3,0.44014817476272583,0.4396313428878784,0.05499788001179695,0.014764983206987381,0.007285395637154579
39,52,142,141,1,2,0.49286386370658875,0.4923546016216278,0.009584630839526653,0.0014870705781504512,0.0009245829423889518
40,53,312,325,1,2,0.22617560625076294,0.22571028769016266,0.13271968066692352,0.11775818467140198,0.026010219007730484
41,54,302,305,1,2,0.4138684570789337,0.41201871633529663,0.025385817512869835,0.012255659326910973,0.006888603325933218
42,57,360,356,1,2,0.27525436878204346,0.2750687003135681,0.04128766432404518,0.03402995318174362,0.017669295892119408
43,58,789,918,1,3,0.3306120038032532,0.33023038506507874,0.011629709042608738,0.006095109973102808,0.004501668736338615
44,60,746,439,1,5,0.31543660163879395,0.31528350710868835,0.016446014866232872,0.014496216550469398,0.01312148105353117
45,61,764,807,1,2,0.08473369479179382,0.08464981615543365,0.04213963821530342,0.037226833403110504,0.034813228994607925
46,62,949,927,1,3,0.31055939197540283,0.3102589249610901,0.04802476987242699,0.045521851629018784,0.031016496941447258
47,63,480,498,1,2,0.08877135813236237,0.08856760710477829,0.048512209206819534,0.0447394959628582,0.03154769539833069
48,65,792,795,1,3,0.4369576573371887,0.436687707901001,0.034120846539735794,0.007524246349930763,0.004639824386686087
49,66,900,821,1,3,0.29479503631591797,0.29463034868240356,0.07602544128894806,0.03555484861135483,0.0352928601205349
50,67,733,557,1,3,0.42949944734573364,0.4291718900203705,0.022643813863396645,0.012215392664074898,0.0066688149236142635
51,68,327,112,1,3,0.36697718501091003,0.3664029836654663,0.036000002175569534,0.02099165879189968,0.01808667555451393
