,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.9695516228675842
1,0.1,1.0,1.0,0.8860231637954712
2,0.2,0.99,1.0,0.7357510924339294
3,0.3,0.97,0.99,0.5862652063369751
4,0.4,0.94,0.97,0.4709251821041107
5,0.5,0.85,0.96,0.3883315324783325
6,0.7,0.73,0.93,0.2853250801563263
7,1.0,0.59,0.82,0.20848755538463593
8,2.0,0.41,0.55,0.1436735838651657
9,4.0,0.3,0.48,0.14703166484832764
10,10.0,0.25,0.46,0.1935979723930359
11,20.0,0.25,0.44,0.2436050921678543
12,30.0,0.2,0.39,0.23889051377773285
13,40.0,0.09,0.27,0.25611597299575806
14,50.0,0.04,0.16,0.29712924361228943
15,60.0,0.03,0.08,0.3293188512325287
