,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.5079544186592102
1,0.5,0.8580645161290322,1.0,0.36328819394111633
2,1.0,0.7806451612903226,0.9741935483870968,0.30533337593078613
3,2.0,0.6193548387096774,0.8580645161290322,0.21865904331207275
4,4.0,0.49032258064516127,0.832258064516129,0.12623609602451324
5,10.0,0.3096774193548387,0.6387096774193548,0.06502643972635269
6,20.0,0.25806451612903225,0.5096774193548387,0.03711599484086037
7,30.0,0.2838709677419355,0.49032258064516127,0.021356631070375443
8,40.0,0.14838709677419354,0.3548387096774194,0.016280295327305794
9,50.0,0.12903225806451613,0.3935483870967742,0.014301772229373455
10,60.0,0.14838709677419354,0.33548387096774196,0.01283164694905281
