,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,0.844,0.844,0.5796708804517985
1,0.1,0.702,0.825,0.4219518281966448
2,0.2,0.561,0.767,0.31834803394973277
3,0.3,0.457,0.688,0.2545818916335702
4,0.4,0.386,0.6,0.21383732806611805
5,0.5,0.319,0.542,0.18674491125065834
6,0.7,0.249,0.46,0.1549273292440921
7,1.0,0.186,0.372,0.1326908411514014
8,2.0,0.112,0.241,0.11400883398484439
9,4.0,0.086,0.185,0.11321085596363992
10,10.0,0.088,0.205,0.13697268178500235
11,20.0,0.099,0.233,0.16172090263664723
12,30.0,0.078,0.188,0.17208857220038773
13,40.0,0.05,0.133,0.1870949154160917
14,50.0,0.026,0.084,0.2182820289786905
15,60.0,0.021,0.056,0.24875739447027445
